index,path,bank,size,census_blob_sha1,actual_blob_sha1,blob_match,status,detail,elapsed_ms,engine_commit,sample_rate
16,resources/data/patches_3rdparty/A.Liv/Leads/Novuo.fxp,contributor,227694,e688adfdcdee44073968942914733783163b0e8c,e688adfdcdee44073968942914733783163b0e8c,True,ok,,22,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
17,resources/data/patches_3rdparty/A.Liv/Plucks/Cute 1.fxp,contributor,34933,263de528a26f764cc80bc3ef963750eeece862a8,263de528a26f764cc80bc3ef963750eeece862a8,True,ok,,5,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
18,resources/data/patches_3rdparty/A.Liv/Plucks/Cute 2.fxp,contributor,37498,1cb2a7ae6111b99172948027ab65b649130bda27,1cb2a7ae6111b99172948027ab65b649130bda27,True,ok,,5,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
19,resources/data/patches_3rdparty/A.Liv/Plucks/Cute 3.fxp,contributor,40993,37d7be69370c7aa9a275056a685adba767196d80,37d7be69370c7aa9a275056a685adba767196d80,True,ok,,21,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
20,resources/data/patches_3rdparty/A.Liv/Plucks/Taped Plucks.fxp,contributor,132924,402c3cca76e8668e419e22bf1410c8403408be07,402c3cca76e8668e419e22bf1410c8403408be07,True,ok,,116,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
21,resources/data/patches_3rdparty/Aleksey Zhehanov/Basses/Double Bass.fxp,contributor,38971,8677a81d70e9cd96aa002a2572e9d402ed57ba9a,8677a81d70e9cd96aa002a2572e9d402ed57ba9a,True,ok,,4,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
22,resources/data/patches_3rdparty/Aleksey Zhehanov/Basses/Electric Bass.fxp,contributor,43281,9bb66bccc849e0f980655b161f9ade2f83665e7b,9bb66bccc849e0f980655b161f9ade2f83665e7b,True,ok,,3,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
23,resources/data/patches_3rdparty/Aleksey Zhehanov/Bells/Chime Bell.fxp,contributor,33303,3192c296df0e2474ecab843785060bcc7724b357,3192c296df0e2474ecab843785060bcc7724b357,True,ok,,3,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
24,resources/data/patches_3rdparty/Aleksey Zhehanov/Brass/Euphonium Ensemble.fxp,contributor,36042,e5cca3589f6573335f639aeafa675985f49cbdb3,e5cca3589f6573335f639aeafa675985f49cbdb3,True,ok,,5,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
25,resources/data/patches_3rdparty/Aleksey Zhehanov/Brass/Euphonium.fxp,contributor,35099,832942856e4853f77b2e8aa840e6bbc96f805264,832942856e4853f77b2e8aa840e6bbc96f805264,True,ok,,12,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
26,resources/data/patches_3rdparty/Aleksey Zhehanov/Brass/Flugelhorn Ensemble.fxp,contributor,46541,fc7d29c017fe39df53a11e1a65f341958fc5b806,fc7d29c017fe39df53a11e1a65f341958fc5b806,True,ok,,8,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
